run,total_time,t_ingest,cpu_ingest,mem_ingest,read_ingest,write_ingest,throughput_ingest,t_bronze,cpu_bronze,mem_bronze,read_bronze,write_bronze,throughput_bronze,t_silver,cpu_silver,mem_silver,read_silver,write_silver,throughput_silver,t_gold,cpu_gold,mem_gold,read_gold,write_gold,throughput_gold
1,112.57,1.1391348838806152,,,0.0,0.0,0.0,70.9962329864502,78.35,33.41538461538461,2793.79296875,294.046875,43.49300961276807,21.050431728363037,72.60000000000001,37.86666666666667,1.3515625,232.73046875,11.120058451561418,19.376440048217773,89.7,38.2,3.6142578125,900.015625,46.63549550711277
2,86.85,0.01241922378540039,,,0.0,0.0,0.0,30.596882343292236,66.28076923076922,38.06153846153846,0.0,891.671875,29.14257292607727,19.48606300354004,79.86666666666666,38.166666666666664,0.0,623.78125,32.011661354408915,36.75184226036072,95.0,38.3,0.0078125,1359.05859375,36.97954504217718
3,104.28,0.011726856231689453,,,0.0,0.0,0.0,28.771971702575684,68.35,38.14615384615385,0.0078125,782.94921875,27.212491355950736,21.552997589111328,84.16666666666667,38.36666666666667,0.00390625,397.23828125,18.43094844963415,53.94582176208496,94.6,38.3,0.01171875,1410.65234375,26.14964452152372
4,127.33,0.01984548568725586,,,0.0,0.0,0.0,31.147090196609497,66.7346153846154,38.22692307692308,0.0859375,779.7109375,25.03594621769466,25.221912622451782,84.06666666666666,38.4,0.0390625,470.1640625,18.642643483803024,70.9397521018982,95.7,38.4,0.0078125,1859.1484375,26.207538015209007
5,150.57,0.0181581974029541,,,0.0,0.0,0.0,30.18260955810547,66.64615384615385,38.28846153846153,0.0078125,824.09375,27.30385392666253,31.055833339691162,85.7,38.46666666666667,0.00390625,555.390625,17.88374265069788,89.30869913101196,95.6,38.5,0.01953125,2347.30859375,26.283308880768402
6,171.33,0.014563798904418945,,,0.0,0.0,0.0,31.065510511398315,64.82307692307691,38.31538461538461,0.015625,833.10546875,26.81820063585685,34.99902892112732,86.86666666666667,38.46666666666667,0.00390625,619.8046875,17.709308311004303,105.25065922737122,95.0,38.6,0.0078125,2732.3671875,25.96064499793105
7,200.12,0.01268148422241211,,,0.0,0.0,0.0,31.23661780357361,63.38846153846154,38.49615384615385,0.0078125,959.109375,30.704898767569922,40.201998710632324,87.73333333333333,38.7,0.0,621.06640625,15.448644996989788,128.66576170921326,91.9,39.0,0.01171875,3480.33984375,27.04955472432248
8,221.53,0.013693809509277344,,,0.0,0.0,0.0,32.155163526535034,62.26923076923077,38.746153846153845,0.01171875,790.98828125,24.599470605934012,45.25670266151428,86.33333333333333,38.9,0.0,621.16796875,13.725435840871219,144.10257029533386,94.0,39.1,0.01171875,3954.90625,27.445159101912722
9,243.46,0.015569210052490234,,,0.0,0.0,0.0,34.005895376205444,61.96538461538462,38.76538461538461,0.01171875,900.73046875,26.4878244649975,48.89023160934448,88.39999999999999,38.9,0.0,669.375,13.691385333344607,160.55165433883667,94.8,39.0,0.0078125,4606.06640625,28.689048628730404
10,264.95,0.013494491577148438,,,0.0,0.0,0.0,34.72075963020325,59.419230769230765,38.74615384615385,32.96875,834.671875,24.9891026072266,53.381386041641235,86.7,38.766666666666666,0.00390625,679.5703125,12.730546528332635,176.83023166656494,95.3,39.1,0.01953125,5079.2421875,28.723944264957872
11,290.02,0.01111745834350586,,,0.0,0.0,0.0,38.06458497047424,58.36153846153846,38.823076923076925,1.8359375,993.69140625,26.153637154383947,59.55311870574951,88.39999999999999,38.93333333333333,314.8984375,552.8984375,14.571812423254656,192.3905735015869,96.0,39.1,3.1171875,5635.0078125,29.305619799264722
12,320.1,0.008586883544921875,,,0.0,0.0,0.0,36.078134059906006,58.23846153846154,38.892307692307696,0.015625,998.296875,27.670846234518397,64.4031150341034,90.33333333333333,39.1,555.74609375,679.10546875,19.17378626555732,219.60968947410583,95.4,39.1,88.50390625,6579.64453125,30.363634926437257
13,344.55,0.014835834503173828,,,0.0,0.0,0.0,39.759873151779175,56.41153846153846,38.934615384615384,4.515625,721.63671875,18.26344719405892,71.13816499710083,89.89999999999999,39.26666666666666,470.3125,797.08984375,17.816067420373464,233.63122367858887,94.7,39.4,238.4375,7125.4375,31.519224545648186
