run,total_time,t_ingest,cpu_ingest,mem_ingest,read_ingest,write_ingest,throughput_ingest,t_bronze,cpu_bronze,mem_bronze,read_bronze,write_bronze,throughput_bronze,t_silver,cpu_silver,mem_silver,read_silver,write_silver,throughput_silver,t_gold,cpu_gold,mem_gold,read_gold,write_gold,throughput_gold
1,112.46,0.019200801849365234,,,0.0,0.0,0.0,71.63738965988159,78.75769230769232,39.396153846153844,0.0,495.796875,6.920923240697817,20.274299383163452,71.06666666666666,44.06666666666666,0.0,47.34375,2.3351608410851448,20.530477046966553,92.6,44.2,0.0,884.35546875,43.07525181840168
2,93.46,0.021900415420532227,,,0.0,0.0,0.0,35.03886961936951,64.88461538461539,44.03461538461538,0.0,996.14453125,28.429699418708722,18.83115577697754,78.89999999999999,44.36666666666667,0.0,690.61328125,36.67397208270801,39.56562423706055,94.5,44.4,0.0,1271.7890625,32.14378863025074
3,114.24,0.013175725936889648,,,0.0,0.0,0.0,33.02841854095459,67.73076923076923,44.20384615384616,0.00390625,719.83984375,21.794678092364848,22.46806311607361,81.73333333333333,44.43333333333334,0.0,397.9140625,17.710207615329914,58.73051047325134,93.5,44.4,0.0,1577.296875,26.85651567286097
4,139.41,0.014129161834716797,,,0.0,0.0,0.0,33.301567792892456,67.31923076923077,44.28846153846154,0.0,601.64453125,18.066552751861995,28.4057354927063,82.53333333333333,44.53333333333333,0.0,541.77734375,19.07281520272944,77.69249272346497,95.2,44.6,0.00390625,1775.390625,22.85155835544184
5,166.12,0.013807535171508789,,,0.0,0.0,0.0,34.01111721992493,65.6576923076923,44.44615384615386,0.0,890.05078125,26.169407358620273,32.92448329925537,84.00000000000001,44.666666666666664,0.0,555.52734375,16.872773331041582,99.16813683509827,95.3,44.7,0.16015625,2285.0,23.04329020570265
6,188.21,0.0309600830078125,,,0.0,0.0,0.0,36.02416920661926,65.48846153846154,44.58076923076923,0.0,899.3359375,24.964793284802568,37.602999210357666,85.5,44.699999999999996,0.0,555.8828125,14.78293817443379,114.55432605743408,95.4,44.8,0.0,2859.1640625,24.959023032150714
7,219.09,0.018105030059814453,,,0.0,0.0,0.0,36.84692883491516,62.92692307692308,44.650000000000006,0.0,879.04296875,23.85661428360462,42.09428334236145,87.0,44.73333333333333,0.0,577.84765625,13.727461554583229,140.13321709632874,92.6,44.9,0.0,3639.5703125,25.97221692268814
8,239.71,0.014370918273925781,,,0.0,0.0,0.0,35.90579843521118,62.665384615384625,44.75384615384615,0.0,857.3203125,23.87693213526384,47.14638829231262,86.36666666666667,45.03333333333333,0.0,556.53125,11.804324152031478,156.6432707309723,93.4,45.3,0.0,4190.08984375,26.749248941221925
9,263.2,0.03764486312866211,,,0.0,0.0,0.0,37.29729866981506,62.292307692307695,45.03846153846155,0.0,872.49609375,23.393010348390632,52.87699913978577,87.09999999999998,45.26666666666667,0.0,614.96875,11.630174934365453,172.98205375671387,94.5,45.4,0.0,4608.16015625,26.639527373926473
10,291.06,0.01711273193359375,,,0.0,0.0,0.0,36.818209171295166,61.9423076923077,45.22692307692307,0.0,910.54296875,24.730778309008382,57.66185474395752,85.86666666666667,45.26666666666666,0.00390625,606.1640625,10.512460472207085,196.56207132339478,95.0,45.5,0.0859375,5082.85546875,25.859217762755787
