run,total_time,t_ingest,cpu_ingest,mem_ingest,read_ingest,write_ingest,throughput_ingest,t_bronze,cpu_bronze,mem_bronze,read_bronze,write_bronze,throughput_bronze,t_silver,cpu_silver,mem_silver,read_silver,write_silver,throughput_silver,t_gold,cpu_gold,mem_gold,read_gold,write_gold,throughput_gold
1,90.1,0.012786149978637695,,,0.0,0.0,0.0,59.514628887176514,63.78076923076923,53.10769230769232,3302.88671875,600.0,65.57861137215201,15.794398784637451,63.366666666666674,61.53333333333333,1.75390625,740.57421875,46.99945437125669,14.776859760284424,84.0,61.0,0.0390625,318.06640625,21.52727128161343
2,70.57,0.010350227355957031,,,0.0,0.0,0.0,24.45694661140442,50.97692307692307,61.407692307692294,7.89453125,1653.6328125,67.93682670817215,17.118503093719482,68.3,61.76666666666667,72.54296875,689.35546875,44.50730495118635,28.988147974014282,84.2,62.0,28.0859375,879.37890625,31.30468509279981
3,86.46,0.009391069412231445,,,0.0,0.0,0.0,25.872577667236328,46.05,61.376923076923084,1719.2421875,816.73046875,98.01778117614552,21.437878370285034,74.5,60.73333333333333,91.52734375,492.984375,27.26537153789386,39.14436745643616,88.4,60.6,46.6953125,1306.84765625,34.578230706023305
4,107.93,0.040497541427612305,,,0.0,0.0,0.0,26.392435312271118,52.98846153846154,59.88461538461539,45.26171875,722.0625,29.07364211264104,27.584916591644287,78.60000000000001,60.13333333333333,106.73828125,683.22265625,28.637423458415896,53.916070222854614,88.2,59.7,99.93359375,2175.6640625,42.206296691211584
5,126.02,0.02562999725341797,,,0.0,0.0,0.0,26.33130669593811,50.342307692307685,60.03076923076923,230.2421875,643.62890625,33.187532386488215,33.107457399368286,77.93333333333334,58.9,172.203125,915.921875,32.86646228594897,66.55743527412415,87.4,55.4,280.5859375,2909.23828125,47.92588845427046
6,141.99,0.014688968658447266,,,0.0,0.0,0.0,27.266432762145996,50.89615384615385,55.096153846153854,322.52734375,904.8671875,45.01485551692675,36.31870460510254,80.10000000000001,54.300000000000004,154.265625,566.75,19.85245985063856,78.39230990409851,87.8,50.7,364.03515625,3602.36328125,50.59677973964929
7,173.28,0.016619443893432617,,,0.0,0.0,0.0,29.763904809951782,49.46153846153846,50.36923076923077,107.1953125,753.55859375,28.919387820451586,48.7178111076355,79.16666666666667,49.56666666666666,436.91015625,806.234375,25.517249297252665,94.77991962432861,87.9,47.2,458.23828125,4000.3359375,47.04133783212821
8,184.79,0.31844067573547363,,,0.0,0.0,0.0,30.880702257156372,47.54230769230769,47.20769230769231,346.41796875,1097.4296875,46.75566132617334,50.25379157066345,78.63333333333334,46.96666666666667,683.56640625,218.9375,17.958921666257968,103.33622002601624,87.8,45.9,563.87109375,4357.82421875,47.6279789531773
9,204.51,0.020046710968017578,,,0.0,0.0,0.0,31.248342752456665,42.69615384615385,45.6576923076923,1463.03515625,1001.37890625,78.86543238541039,56.56743025779724,80.10000000000001,45.133333333333326,1061.0234375,497.74609375,27.555954444919116,116.66812205314636,87.0,43.2,1264.7734375,4972.24609375,53.45950051727774
10,224.83,0.3597681522369385,,,0.0,0.0,0.0,33.91214561462402,40.51923076923077,43.06153846153847,1857.5546875,1059.09375,86.00601302685625,61.46556234359741,80.10000000000001,43.20000000000001,1741.9296875,718.03125,40.02177550656124,129.0855119228363,85.9,40.3,2295.3203125,5630.55078125,61.40016006202046
11,247.03,0.3049333095550537,,,0.0,0.0,0.0,37.52331185340881,38.84230769230769,41.449999999999996,2075.5546875,1042.10546875,83.08595383130542,67.67187666893005,79.36666666666666,41.66666666666667,3135.51953125,1149.7734375,63.32457705753993,141.50708723068237,84.5,39.0,1680.85546875,6617.29296875,58.64122143912484
12,266.24,0.45368313789367676,,,0.0,0.0,0.0,36.31629419326782,40.99230769230769,40.68076923076922,2160.62890625,498.953125,73.23384971760206,75.01295328140259,77.60000000000001,42.1,4529.84765625,898.69140625,72.36802212193209,154.44700074195862,86.4,38.6,2189.21875,6747.21484375,57.86084255971077
13,291.24,0.4327127933502197,,,0.0,0.0,0.0,41.99483299255371,39.465384615384615,40.62307692307692,2271.9609375,1102.50390625,80.35428654635538,77.61635708808899,78.73333333333333,41.833333333333336,3208.4453125,835.44140625,52.10096003553064,171.18913865089417,84.3,38.5,5722.4453125,7960.34765625,79.92792695016304
14,306.32,0.44580554962158203,,,0.0,0.0,0.0,40.58199119567871,37.39615384615384,40.69230769230769,2323.43359375,448.421875,68.30259893815055,85.05188846588135,78.6,41.766666666666666,5735.578125,1035.390625,79.60985784244146,180.2298264503479,87.0,38.8,4107.4140625,7795.83203125,66.04481804253007
15,319.62,3.161698818206787,,,0.0,0.0,0.0,38.81493425369263,38.857692307692304,41.21538461538462,2215.26171875,165.47265625,61.335525121326484,85.9352114200592,80.06666666666666,41.63333333333333,5157.3671875,801.16015625,69.3374374169416,191.6893186569214,86.4,39.1,8344.71484375,8892.49609375,89.92264701170198
16,323.14,0.44544029235839844,,,0.0,0.0,0.0,38.968573570251465,37.64615384615384,40.896153846153844,2222.4140625,568.75,71.62602596854532,87.38191223144531,81.46666666666667,41.733333333333334,7440.51953125,850.7890625,94.88586804771576,196.3327875137329,85.9,39.2,8254.0703125,9272.6796875,89.27062169264039
17,346.27,0.38047170639038086,,,0.0,0.0,0.0,40.91848826408386,36.792307692307695,40.926923076923075,2114.6796875,959.5625,75.13088381122846,93.92726731300354,81.2,41.03333333333333,7817.32421875,787.85546875,91.61535232174988,211.01047253608704,85.5,39.7,7097.68359375,9667.63671875,79.45255091371256
18,366.61,0.5536713600158691,,,0.0,0.0,0.0,40.73434782028198,38.073076923076925,41.26153846153846,2003.703125,704.609375,66.48719434392191,101.9774420261383,79.83333333333333,42.16666666666667,9303.484375,1053.1953125,101.55853570876423,223.33071541786194,85.1,39.7,10861.671875,10266.29296875,94.60393660683268
19,380.42,0.3444240093231201,,,0.0,0.0,0.0,42.57160305976868,35.70769230769231,40.83846153846154,2105.4765625,1025.4609375,73.5452103037863,103.74001622200012,80.56666666666666,42.26666666666667,10282.03125,955.875,108.32759295074005,233.7494990825653,85.3,39.9,11029.3203125,11111.1796875,94.71891955661262
20,400.69,0.3180522918701172,,,0.0,0.0,0.0,42.50053834915161,36.76923076923077,41.72692307692308,2091.24609375,559.55078125,62.37090112184225,113.09118032455444,79.13333333333334,42.666666666666664,11105.1875,1073.9140625,107.69276196028581,244.7600154876709,85.6,40.1,12198.546875,11388.61328125,96.36851880914404
21,417.05,0.2877523899078369,,,0.0,0.0,0.0,42.791335344314575,35.73076923076923,42.3423076923077,2145.515625,945.16015625,72.22667290892663,115.464275598526,79.93333333333334,43.46666666666667,12060.50390625,1068.76953125,113.7085333921898,258.4583191871643,85.3,40.1,12777.859375,12349.03515625,97.21836236601924
22,435.68,2.7591230869293213,,,0.0,0.0,0.0,43.4475200176239,35.11153846153846,42.39999999999999,2145.84765625,322.296875,56.80748936300232,119.17430472373962,80.86666666666666,42.73333333333333,12656.2734375,1321.9609375,117.29235095940545,270.28910732269287,86.3,40.6,13463.6171875,12366.9296875,95.56636273973636
23,452.44,0.3240959644317627,,,0.0,0.0,0.0,45.24891662597656,34.41538461538462,42.2423076923077,2069.046875,1012.70703125,68.10668930979051,125.54901576042175,81.3,43.06666666666666,13843.53125,1129.03125,119.25670949560698,281.31532311439514,87.1,43.3,13967.5546875,12936.87109375,95.63796768478723
24,470.7,0.5882809162139893,,,0.0,0.0,0.0,44.79007124900818,33.761538461538464,43.76538461538461,1806.08203125,730.59375,56.63477888095951,133.19566440582275,81.13333333333334,44.13333333333333,14192.26171875,1251.421875,115.94734455241674,292.10867524147034,86.8,43.7,14445.26953125,13300.421875,94.98414034884156
25,491.61,0.801724910736084,,,0.0,0.0,0.0,43.5095636844635,32.973076923076924,43.75000000000001,1764.30078125,696.14453125,56.54952852075098,139.50574207305908,79.7,43.79999999999999,14912.40234375,1442.81640625,117.23688578664225,307.77211570739746,86.5,41.2,15757.70703125,14574.328125,98.5535518269206
